seq00583	UniRef90_A0A7V5SJ45	57.7	71	30	0	4	74	16	86	2.16e-20	88.2
seq00587	UniRef90_A0A957H728	47.8	67	30	1	14	75	42	108	1.35e-10	62.8
seq00588	UniRef90_A0A9E3E843	60.4	48	16	2	7	52	12	58	1.44e-04	47.8
seq00595	UniRef90_A0A9E5TDC6	50.0	80	40	0	1	80	1	80	1.02e-17	80.5
seq00599	UniRef90_A0A918ABQ0	46.2	52	24	1	8	55	14	65	3.17e-02	40.0
seq00600	UniRef90_A0A3D0CXP8	48.9	45	21	1	27	71	152	194	1.41e-04	48.1
seq00612	UniRef90_X1GYA3	39.6	53	32	0	1	53	6	58	5.84e-04	45.8
seq00618	UniRef90_A0A1Y4QK08	39.7	68	34	2	2	62	1	68	1.05e-06	54.3
seq00627	UniRef90_A0A932HXC6	55.4	74	33	0	3	76	13	86	6.08e-17	79.3
seq00628	UniRef90_A0A432V1Z8	44.6	56	28	2	17	69	6	61	4.20e-02	40.8
seq00629	UniRef90_A0A7C5S6M8	59.0	39	16	0	22	60	1	39	1.80e-05	50.4
seq00639	UniRef90_A0A4U0YGJ2	44.0	75	38	2	1	75	1	71	6.66e-09	58.9
